F	20000000	gte_ldv0	__gtemacro	void gte_ldv0(SVECTOR * r0)
F	20000004	gte_ldv1	__gtemacro	void gte_ldv1(SVECTOR * r0)
F	20000008	gte_ldv2	__gtemacro	void gte_ldv2(SVECTOR * r0)
F	2000000c	gte_ldv3	__gtemacro	void gte_ldv3(SVECTOR * r0, SVECTOR * r1, SVECTOR * r2)
F	20000010	gte_ldv3c	__gtemacro	void gte_ldv3c(SVECTOR * r0)
F	20000014	gte_ldv3c_vertc	__gtemacro	void gte_ldv3c_vertc(VERTC * r0)
F	20000018	gte_ldv01	__gtemacro	void gte_ldv01(SVECTOR * r0, SVECTOR * r1)
F	2000001c	gte_ldv01c	__gtemacro	void gte_ldv01c(SVECTOR * r0)
F	20000020	gte_ldrgb	__gtemacro	void gte_ldrgb(CVECTOR * r0)
F	20000024	gte_ldrgb3	__gtemacro	void gte_ldrgb3(CVECTOR * r0, CVECTOR * r1, CVECTOR * r2)
F	20000028	gte_ldrgb3c	__gtemacro	void gte_ldrgb3c(CVECTOR * r0)
F	2000002c	gte_ldlv0	__gtemacro	void gte_ldlv0(VECTOR * r0)
F	20000030	gte_ldlvl	__gtemacro	void gte_ldlvl(VECTOR * r0)
F	20000034	gte_ldsv	__gtemacro	void gte_ldsv(SVECTOR * r0)
F	20000038	gte_ldbv	__gtemacro	void gte_ldbv(char * r0)
F	2000003c	gte_ldcv	__gtemacro	void gte_ldcv(CVECTOR * r0)
F	20000040	gte_ldclmv	__gtemacro	void gte_ldclmv(MATRIX * r0)
F	20000044	gte_lddp	__gtemacro	void gte_lddp(long r0)
F	20000048	gte_ldsxy0	__gtemacro	void gte_ldsxy0(long * r0)
F	2000004c	gte_ldsxy1	__gtemacro	void gte_ldsxy1(long * r0)
F	20000050	gte_ldsxy2	__gtemacro	void gte_ldsxy2(long * r0)
F	20000054	gte_ldsxy3	__gtemacro	void gte_ldsxy3(long r0, long r1, long r2)
F	20000058	gte_ldsxy3c	__gtemacro	void gte_ldsxy3c(long * r0)
F	2000005c	gte_ldsz3	__gtemacro	void gte_ldsz3(long r0, long r1, long r2)
F	20000060	gte_ldsz4	__gtemacro	void gte_ldsz4(long r0, long r1, long r2, long r3)
F	20000064	gte_ldopv1	__gtemacro	void gte_ldopv1(VECTOR * r0)
F	20000068	gte_ldopv2	__gtemacro	void gte_ldopv2(VECTOR * r0)
F	2000006c	gte_ldopv1SV	__gtemacro	void gte_ldopv1SV(SVECTOR * r0)
F	20000070	gte_ldopv2SV	__gtemacro	void gte_ldopv2SV(SVECTOR * r0)
F	20000074	gte_ldlzc	__gtemacro	void gte_ldlzc(long r0)
F	20000078	gte_SetRGBcd	__gtemacro	void gte_SetRGBcd(CVECTOR * r0)
F	2000007c	gte_ldbkdir	__gtemacro	void gte_ldbkdir(long r0, long r1, long r2)
F	20000080	gte_SetBackColor	__gtemacro	void gte_SetBackColor(long r0, long r1, long r2)
F	20000084	gte_ldfcdir	__gtemacro	void gte_ldfcdir(long r0, long r1, long r2)
F	20000088	gte_SetFarColor	__gtemacro	void gte_SetFarColor(long r0, long r1, long r2)
F	2000008c	gte_SetGeomOffset	__gtemacro	void gte_SetGeomOffset(long r0, long r1)
F	20000090	gte_SetGeomScreen	__gtemacro	void gte_SetGeomScreen(long r0)
F	20000094	gte_ldsvrtrow0	__gtemacro	void gte_ldsvrtrow0(SVECTOR * r0)
F	20000098	gte_SetRotMatrix	__gtemacro	void gte_SetRotMatrix(MATRIX * r0)
F	2000009c	gte_ldsvllrow0	__gtemacro	void gte_ldsvllrow0(SVECTOR * r0)
F	200000a0	gte_SetLightMatrix	__gtemacro	void gte_SetLightMatrix(MATRIX * r0)
F	200000a4	gte_ldsvlcrow0	__gtemacro	void gte_ldsvlcrow0(SVECTOR * r0)
F	200000a8	gte_SetColorMatrix	__gtemacro	void gte_SetColorMatrix(MATRIX * r0)
F	200000ac	gte_SetTransMatrix	__gtemacro	void gte_SetTransMatrix(MATRIX * r0)
F	200000b0	gte_ldtr	__gtemacro	void gte_ldtr(long r0, long r1, long r2)
F	200000b4	gte_SetTransVector	__gtemacro	void gte_SetTransVector(VECTOR * r0)
F	200000b8	gte_ld_intpol_uv0	__gtemacro	void gte_ld_intpol_uv0(char * r0)
F	200000bc	gte_ld_intpol_uv1	__gtemacro	void gte_ld_intpol_uv1(char * r0)
F	200000c0	gte_ld_intpol_bv0	__gtemacro	void gte_ld_intpol_bv0(char * r0)
F	200000c4	gte_ld_intpol_bv1	__gtemacro	void gte_ld_intpol_bv1(char * r0)
F	200000c8	gte_ld_intpol_sv0	__gtemacro	void gte_ld_intpol_sv0(SVECTOR * r0)
F	200000cc	gte_ldfc	__gtemacro	void gte_ldfc(long * r0)
F	200000d0	gte_stsxy	__gtemacro	void gte_stsxy(long * r0)
F	200000d4	gte_stsxy3	__gtemacro	void gte_stsxy3(long * r0, long * r1, long * r2)
F	200000d8	gte_stsxy3c	__gtemacro	void gte_stsxy3c(long * r0)
F	200000dc	gte_stsxy2	__gtemacro	void gte_stsxy2(long * r0)
F	200000e0	gte_stsxy1	__gtemacro	void gte_stsxy1(long * r0)
F	200000e4	gte_stsxy0	__gtemacro	void gte_stsxy0(long * r0)
F	200000e8	gte_stsxy01	__gtemacro	void gte_stsxy01(long * r0, long * r1)
F	200000ec	gte_stsxy01c	__gtemacro	void gte_stsxy01c(long * r0)
F	200000f0	gte_stsxy3_f3	__gtemacro	void gte_stsxy3_f3(u_long * r0)
F	200000f4	gte_stsxy3_g3	__gtemacro	void gte_stsxy3_g3(u_long * r0)
F	200000f8	gte_stsxy3_ft3	__gtemacro	void gte_stsxy3_ft3(u_long * r0)
F	200000fc	gte_stsxy3_gt3	__gtemacro	void gte_stsxy3_gt3(u_long * r0)
F	20000100	gte_stsxy3_f4	__gtemacro	void gte_stsxy3_f4(u_long * r0)
F	20000104	gte_stsxy3_g4	__gtemacro	void gte_stsxy3_g4(u_long * r0)
F	20000108	gte_stsxy3_ft4	__gtemacro	void gte_stsxy3_ft4(u_long * r0)
F	2000010c	gte_stsxy3_gt4	__gtemacro	void gte_stsxy3_gt4(u_long * r0)
F	20000110	gte_stdp	__gtemacro	void gte_stdp(long * r0)
F	20000114	gte_stflg	__gtemacro	void gte_stflg(long * r0)
F	20000118	gte_stflg_4	__gtemacro	void gte_stflg_4(long * r0)
F	2000011c	gte_stsz	__gtemacro	void gte_stsz(long * r0)
F	20000120	gte_stsz3	__gtemacro	void gte_stsz3(long * r0, long * r1, long * r2)
F	20000124	gte_stsz4	__gtemacro	void gte_stsz4(long * r0, long * r1, long * r2, long * r3)
F	20000128	gte_stsz3c	__gtemacro	void gte_stsz3c(long * r0)
F	2000012c	gte_stsz4c	__gtemacro	void gte_stsz4c(long * r0)
F	20000130	gte_stszotz	__gtemacro	void gte_stszotz(long * r0)
F	20000134	gte_stotz	__gtemacro	void gte_stotz(long * r0)
F	20000138	gte_stopz	__gtemacro	void gte_stopz(long * r0)
F	2000013c	gte_stlvl	__gtemacro	void gte_stlvl(VECTOR * r0)
F	20000140	gte_stlvnl	__gtemacro	void gte_stlvnl(VECTOR * r0)
F	20000144	gte_stlvnl0	__gtemacro	void gte_stlvnl0(long * r0)
F	20000148	gte_stlvnl1	__gtemacro	void gte_stlvnl1(long * r0)
F	2000014c	gte_stlvnl2	__gtemacro	void gte_stlvnl2(long * r0)
F	20000150	gte_stsv	__gtemacro	void gte_stsv(SVECTOR * r0)
F	20000154	gte_stclmv	__gtemacro	void gte_stclmv(MATRIX * r0)
F	20000158	gte_stbv	__gtemacro	void gte_stbv(char * r0)
F	2000015c	gte_stcv	__gtemacro	void gte_stcv(CVECTOR * r0)
F	20000160	gte_strgb	__gtemacro	void gte_strgb(CVECTOR * r0)
F	20000164	gte_strgb3	__gtemacro	void gte_strgb3(CVECTOR * r0, CVECTOR * r1, CVECTOR * r2)
F	20000168	gte_strgb3_g3	__gtemacro	void gte_strgb3_g3(u_long * r0)
F	2000016c	gte_strgb3_gt3	__gtemacro	void gte_strgb3_gt3(u_long * r0)
F	20000170	gte_strgb3_g4	__gtemacro	void gte_strgb3_g4(u_long * r0)
F	20000174	gte_strgb3_gt4	__gtemacro	void gte_strgb3_gt4(u_long * r0)
F	20000178	gte_ReadGeomOffset	__gtemacro	void gte_ReadGeomOffset(long * r0, long * r1)
F	2000017c	gte_ReadGeomScreen	__gtemacro	void gte_ReadGeomScreen(long * r0)
F	20000180	gte_ReadRotMatrix	__gtemacro	void gte_ReadRotMatrix(MATRIX * r0)
F	20000184	gte_sttr	__gtemacro	void gte_sttr(VECTOR * r0)
F	20000188	gte_ReadLightMatrix	__gtemacro	void gte_ReadLightMatrix(MATRIX * r0)
F	2000018c	gte_ReadColorMatrix	__gtemacro	void gte_ReadColorMatrix(MATRIX * r0)
F	20000190	gte_stlzc	__gtemacro	void gte_stlzc(long * r0)
F	20000194	gte_stfc	__gtemacro	void gte_stfc(long * r0)
F	20000198	gte_subdvl	__gtemacro	void gte_subdvl(DVECTOR * r0, DVECTOR * r1, VECTOR * r2)
F	2000019c	gte_subdvd	__gtemacro	void gte_subdvd(DVECTOR * r0, DVECTOR * r1, DVECTOR * r2)
F	200001a0	gte_adddvl	__gtemacro	void gte_adddvl(DVECTOR * r0, DVECTOR * r1, VECTOR * r2)
F	200001a4	gte_adddvd	__gtemacro	void gte_adddvd(DVECTOR * r0, DVECTOR * r1, DVECTOR * r2)
F	200001a8	gte_RotTransPers	__gtemacro	void gte_RotTransPers(SVECTOR * r0, long * r1, long * r2, long * r3, long * r4)
F	200001ac	gte_RotTransPers3	__gtemacro	void gte_RotTransPers3(SVECTOR * r0, SVECTOR * r1, SVECTOR * r2, long * r3, long * r4, long * r5, long * r6, long * r7, long * r8)
F	200001b0	gte_RotTrans	__gtemacro	void gte_RotTrans(SVECTOR * r0, VECTOR * r1, long * r2)
F	200001b4	gte_LocalLight	__gtemacro	void gte_LocalLight(SVECTOR * r0, VECTOR * r1)
F	200001b8	gte_LightColor	__gtemacro	void gte_LightColor(VECTOR * r0, VECTOR * r1)
F	200001bc	gte_DpqColorLight	__gtemacro	void gte_DpqColorLight(VECTOR * r0, CVECTOR * r1, long r2, CVECTOR * r3)
F	200001c0	gte_DpqColor	__gtemacro	void gte_DpqColor(CVECTOR * r0, long r1, CVECTOR * r2)
F	200001c4	gte_DpqColor3	__gtemacro	void gte_DpqColor3(CVECTOR * r0, CVECTOR * r1, CVECTOR * r2, long r3, CVECTOR * r4, CVECTOR * r5, CVECTOR * r6)
F	200001c8	gte_Intpl	__gtemacro	void gte_Intpl(VECTOR * r0, long r1, CVECTOR * r2)
F	200001cc	gte_Square12	__gtemacro	void gte_Square12(VECTOR * r0, VECTOR * r1)
F	200001d0	gte_Square0	__gtemacro	void gte_Square0(VECTOR * r0, VECTOR * r1)
F	200001d4	gte_NormalColor	__gtemacro	void gte_NormalColor(SVECTOR * r0, CVECTOR * r1)
F	200001d8	gte_NormalColor3	__gtemacro	void gte_NormalColor3(SVECTOR * r0, SVECTOR * r1, SVECTOR * r2, CVECTOR * r3, CVECTOR * r4, CVECTOR * r5)
F	200001dc	gte_NormalColorDpq	__gtemacro	void gte_NormalColorDpq(SVECTOR * r0, CVECTOR * r1, long r2, CVECTOR * r3)
F	200001e0	gte_NormalColorDpq3	__gtemacro	void gte_NormalColorDpq3(SVECTOR * r0, SVECTOR * r1, SVECTOR * r2, CVECTOR * r3, long r4, CVECTOR * r5, CVECTOR * r6, CVECTOR * r7)
F	200001e4	gte_NormalColorCol	__gtemacro	void gte_NormalColorCol(SVECTOR * r0, CVECTOR * r1, CVECTOR * r2)
F	200001e8	gte_NormalColorCol3	__gtemacro	void gte_NormalColorCol3(SVECTOR * r0, SVECTOR * r1, SVECTOR * r2, CVECTOR * r3, CVECTOR * r4, CVECTOR * r5, CVECTOR * r6)
F	200001ec	gte_ColorDpq	__gtemacro	void gte_ColorDpq(VECTOR * r0, CVECTOR * r1, long r2, CVECTOR * r3)
F	200001f0	gte_ColorCol	__gtemacro	void gte_ColorCol(VECTOR * r0, CVECTOR * r1, CVECTOR * r2)
F	200001f4	gte_NormalClip	__gtemacro	void gte_NormalClip(long r0, long r1, long r2, long * r3)
F	200001f8	gte_AverageZ3	__gtemacro	void gte_AverageZ3(long r0, long r1, long r2, long * r3)
F	200001fc	gte_AverageZ4	__gtemacro	void gte_AverageZ4(long r0, long r1, long r2, long r3, long * r4)
F	20000200	gte_OuterProduct12	__gtemacro	void gte_OuterProduct12(VECTOR * r0, VECTOR * r1, VECTOR * r2)
F	20000204	gte_OuterProduct0	__gtemacro	void gte_OuterProduct0(VECTOR * r0, VECTOR * r1, VECTOR * r2)
F	20000208	gte_OuterProduct12SVL	__gtemacro	void gte_OuterProduct12SVL(SVECTOR * r0, SVECTOR * r1, VECTOR * r2)
F	2000020c	gte_OuterProduct0SVL	__gtemacro	void gte_OuterProduct0SVL(SVECTOR * r0, SVECTOR * r1, VECTOR * r2)
F	20000210	gte_OuterProduct12SV	__gtemacro	void gte_OuterProduct12SV(SVECTOR * r0, SVECTOR * r1, SVECTOR * r2)
F	20000214	gte_OuterProduct0SV	__gtemacro	void gte_OuterProduct0SV(SVECTOR * r0, SVECTOR * r1, SVECTOR * r2)
F	20000218	gte_Lzc	__gtemacro	void gte_Lzc(long r0, long * r1)
F	2000021c	gte_RotAverage3	__gtemacro	void gte_RotAverage3(SVECTOR * r0, SVECTOR * r1, SVECTOR * r2, long * r3, long * r4, long * r5, long * r6, long * r7, long * r8)
F	20000220	gte_RotNclip3	__gtemacro	void gte_RotNclip3(SVECTOR * r0, SVECTOR * r1, SVECTOR * r2, long * r3, long * r4, long * r5, long * r6, long * r7, long * r8, long * r9)
F	20000224	gte_RotAverageNclip3	__gtemacro	void gte_RotAverageNclip3(SVECTOR * r0, SVECTOR * r1, SVECTOR * r2, long * r3, long * r4, long * r5, long * r6, long * r7, long * r8, long * r9)
F	20000228	gte_RotColorDpq	__gtemacro	void gte_RotColorDpq(SVECTOR * r0, SVECTOR * r1, CVECTOR * r2, long * r3, CVECTOR * r4, long * r5, long * r6)
F	2000022c	gte_RotColorDpq3	__gtemacro	void gte_RotColorDpq3(SVECTOR * r0, SVECTOR * r1, SVECTOR * r2, SVECTOR * r3, SVECTOR * r4, SVECTOR * r5, CVECTOR * r6, long * r7, long * r8, long * r9, CVECTOR * r10, CVECTOR * r11, CVECTOR * r12, long * r13, long * r14)
